session_id,1,2,3,4,5,6,7,8,9,10
d1eyv198e7myocx9n9n6jzf5jzcv39li,-14.699999999999996,-14.699999999999996,-14.699999999999996,-14.699999999999996,-10.59999999999999,-14.699999999999996,-14.699999999999996,-14.799999999999995,-14.799999999999995,-14.799999999999995
ckp64he3cbpcuecq3fe4s1j703onjkyx,10.0,10.0,10.0,10.0,9.2,9.1,9.1,9.1,9.1,9.0
lz2rcdu9yrjx8kr72ns2hrotjldglf4l,10.0,10.0,10.0,10.0,9.7,9.6,9.6,9.6,9.6,9.5
g3by2bn8u1ptw3bivsoqqgf8xt6bm21d,10.0,10.0,10.0,10.0,10.0,9.9,9.9,9.9,9.9,9.8
2y770g7fo9k2vve9q6i7wkps12m82mds,10.0,10.0,10.0,10.0,9.3,9.2,9.2,9.2,9.2,9.1
ilmal1kc8fkxi3lpxdhki34kuzgs1t67,6.000000000000003,6.000000000000003,6.000000000000003,6.000000000000008,6.000000000000003,6.000000000000003,6.000000000000003,6.000000000000003,6.000000000000008,6.000000000000003
xhbt9x2d0b98qfxvsansb3xnw1sdu6oa,10.0,10.0,10.0,9.9,10.0,9.9,9.9,9.9,9.9,9.9
sgkiah7wdilz2guevzkdpxyw2n1kehuv,10.0,10.0,10.0,9.9,10.0,9.9,9.9,9.9,9.9,9.9
y0fwyws0rsmy48u1fwrxog4xnyt1lba9,9.8,9.8,9.8,9.8,9.8,9.8,9.7,9.7,9.7,9.7
dxw8123etxtip1b8w6ytet43nhqrb9vh,9.1,9.1,9.1,9.1,9.0,9.0,9.0,9.0,9.0,14.6
6nghqg36qnjw85glpy5yehsjuqrb847y,9.1,9.6,9.1,9.1,9.1,9.1,9.8,9.1,9.1,9.7
8pu9uimd3eau2ffxposx48j0wel728yr,0.3000000000000029,0.20000000000000406,0.20000000000000315,0.2000000000000044,0.2000000000000044,0.2000000000000044,0.20000000000000792,0.2000000000000064,0.9000000000000065,0.2000000000000064
h5fo7p4x3id0fv596e9vlvmdfuzn5jky,10.0,10.0,10.0,9.9,10.0,9.9,9.9,9.9,9.9,9.9
vhtm9daj94fsie469xejasqd2oxkiyqh,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.8,9.8
b4tnecspthyvktl1nxvykh1cxc44jyk1,6.000000000000003,6.000000000000003,6.000000000000003,6.000000000000003,5.900000000000002,5.900000000000002,5.900000000000002,5.900000000000002,5.900000000000002,5.900000000000002
yv8wy71a5x2ohi0tkhq9aknm1ickllfu,3.7000000000000073,3.7000000000000073,3.7000000000000073,3.7000000000000073,3.7000000000000073,3.7000000000000073,3.6000000000000085,3.6000000000000085,3.7000000000000073,3.7000000000000073
cub64ayg0fl56l2e2p6wglqpk3l95hf7,10.0,10.0,10.0,9.9,10.0,9.9,10.6,9.9,10.0,9.9
88f3z9ft5nwhfc5jvm5l2e1tzel7alim,10.0,10.0,10.0,9.9,10.0,9.9,10.6,9.9,10.0,10.7
ehhhq1vqlhov8s4z9uftdo5h49ho2cnj,9.5,9.5,9.9,9.5,9.4,9.4,9.4,9.4,9.4,9.4
l77e3srr5a12a9mdj3x9vc2ofn6z5c1u,10.0,9.7,10.5,9.8,9.7,9.7,11.8,9.7,9.6,11.3
wb0my3qgznf8cnke8veasfgwbxzs6maa,9.8,9.8,9.8,9.8,9.8,9.8,11.9,9.8,9.8,11.3
1h0jdz7nnzilxcbwq7n4urfvvz9kvb83,10.0,10.0,10.0,9.9,10.0,9.9,9.8,9.9,10.0,9.9
p2bjkn2k3onku3aki5ss6kzexndookd2,9.8,11.2,9.8,9.8,11.2,10.4,9.8,9.8,9.7,11.1
58kw37w7lovglfc0g3srl5fpy389gi0u,10.0,10.0,10.0,9.9,10.0,9.9,9.8,9.9,10.0,9.9
yizb2ei0wlqv218m7w111d2rt5zfxyon,9.6,9.6,9.6,9.6,10.1,9.5,9.5,9.5,9.5,9.5
aou5g4c0eeagutkg55k4ypulh9pau3is,8.400000000000002,8.400000000000002,8.400000000000002,8.400000000000002,8.400000000000002,8.400000000000002,8.400000000000002,8.400000000000002,8.300000000000002,8.300000000000002
2xdotoh5bz5w0fic8dhdf0fy6te5eoj1,10.0,10.0,10.0,9.9,10.0,9.9,9.8,9.9,10.0,9.9
f427apx0olqs92b0rymr1wyveq9z6xfe,9.9,10.5,10.5,9.8,9.8,9.8,9.8,9.8,10.5,12.8
u0tg4nze3xlo7sr9xqup8sgmb3hjs55n,10.0,10.0,10.0,10.0,10.0,9.9,9.7,9.9,10.0,9.9
fclwcackq26p4eyuap7a1ddlc77f11q6,10.0,10.0,10.0,10.0,10.0,10.0,9.8,9.9,10.0,9.7
qh0wmveodm8tcxe33wi9ohgyc1zrket0,10.0,10.0,10.0,10.0,10.0,10.0,9.8,9.9,10.0,9.7
gxfzpxf5voyqomf0ct9soz2y7gppd473,10.0,10.0,10.0,10.0,10.0,9.9,9.8,9.9,10.0,9.8
07epxxdzxdaw057pvznm9g156ubq08ay,8.500000000000002,8.500000000000002,8.500000000000002,8.400000000000002,8.500000000000002,8.400000000000002,8.400000000000002,8.500000000000005,8.600000000000001,8.700000000000001
q7qsiriqi2b5a0ly29df26ayk1j88zgr,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.9,8.9
